net,length_um
_03360_,77.22µm
_10037_,77.2µm
_08832_,77.19µm
_03425_,77.12µm
_03429_,77.12µm
_07039_,77.12µm
_11096_,77.02µm
_05841_,77µm
net108,77µm
_08323_,76.96µm
clknet_leaf_136_clk,76.92µm
_05284_,76.84µm
_09871_,76.84µm
dec_block.block_w1_reg\[20\],76.84µm
clknet_leaf_99_clk,76.84µm
_09782_,76.82µm
_03749_,76.71µm
_04310_,76.7µm
_09734_,76.65µm
_05388_,76.58µm
_11308_,76.48µm
_09753_,76.395µm
net233,76.24µm
_07174_,75.96µm
_11594_,75.96µm
clknet_leaf_208_clk,75.94µm
clknet_leaf_168_clk,75.86µm
_10220_,75.78µm
_03813_,75.72µm
_10081_,75.72µm
_08574_,75.66µm
_03917_,75.64µm
_08596_,75.64µm
_03820_,75.625µm
clknet_leaf_113_clk,75.62µm
clknet_leaf_79_clk,75.46µm
_09628_,75.44µm
clknet_leaf_119_clk,75.34µm
_06699_,75.32µm
_03581_,75.22µm
_11568_,75.12µm
_04723_,75.06µm
_11077_,75.04µm
_07949_,74.97µm
_04878_,74.94µm
net191,74.94µm
_04618_,74.93µm
_04933_,74.92µm
dec_block.block_w1_reg\[17\],74.92µm
clknet_leaf_241_clk,74.88µm
_08040_,74.84µm
_10147_,74.76µm
_03883_,74.75µm
_04880_,74.72µm
_09451_,74.68µm
_11130_,74.68µm
_10354_,74.42µm
net235,74.36µm
_07881_,74.355µm
_11225_,74.31µm
_02709_,74.3µm
_06074_,74.28µm
_08050_,74.24µm
_08781_,74.22µm
_04660_,74.14µm
clknet_leaf_96_clk,74.08µm
_11961_,74.06µm
clknet_leaf_166_clk,73.86µm
_11276_,73.84µm
_05231_,73.83µm
_04571_,73.8µm
_04489_,73.68µm
clknet_leaf_143_clk,73.58µm
_12015_,73.52µm
_06938_,73.44µm
_07250_,73.42µm
clknet_leaf_51_clk,73.395µm
_08672_,73.36µm
_09530_,73.33µm
_09405_,73.32µm
_04998_,73.28µm
_11003_,73.28µm
_02742_,73.24µm
_05390_,73.2µm
_10248_,73.18µm
_11564_,73.13µm
_05034_,72.94µm
_05244_,72.88µm
_03538_,72.86µm
_09772_,72.72µm
_03880_,72.52µm
_07940_,72.5µm
clknet_leaf_160_clk,72.5µm
_06160_,72.48µm
_10107_,72.48µm
_11294_,72.48µm
_03521_,72.4µm
_03174_,72.34µm
_11574_,72.26µm
clknet_leaf_245_clk,72.24µm
_03846_,72.17µm
clknet_leaf_146_clk,72.17µm
_11310_,72.12µm
clknet_leaf_22_clk,72.06µm
clknet_leaf_104_clk,72.04µm
_04865_,72.03µm
_03462_,71.98µm
_08044_,71.88µm
clknet_leaf_189_clk,71.8µm
clknet_leaf_244_clk,71.78µm
clknet_leaf_257_clk,71.78µm
_04523_,71.77µm
_11020_,71.75µm
_05216_,71.72µm
_09902_,71.7µm
_06084_,71.68µm
_11004_,71.68µm
clknet_leaf_254_clk,71.68µm
_02896_,71.38µm
_08427_,71.38µm
clknet_leaf_14_clk,71.38µm
_08204_,71.36µm
_03837_,71.34µm
_02535_,71.32µm
_09794_,71.32µm
_06041_,71.26µm
_07223_,71.22µm
_10005_,71.2µm
clknet_leaf_190_clk,71.16µm
_03677_,71.15µm
_02513_,71.1µm
net227,71.08µm
_08422_,71.06µm
_08462_,71.04µm
clknet_leaf_126_clk,71.04µm
_10751_,71.03µm
_07093_,70.98µm
dec_block.round\[2\],70.87µm
_08077_,70.86µm
clknet_leaf_217_clk,70.86µm
_08267_,70.83µm
clknet_leaf_48_clk,70.8µm
net291,70.76µm
clknet_leaf_56_clk,70.74µm
clknet_leaf_34_clk,70.7µm
clknet_leaf_121_clk,70.7µm
_08168_,70.63µm
_08945_,70.62µm
_05322_,70.61µm
_08231_,70.6µm
_05206_,70.56µm
clknet_leaf_28_clk,70.44µm
clknet_leaf_169_clk,70.44µm
clknet_leaf_29_clk,70.42µm
_04564_,70.4µm
_08413_,70.32µm
clknet_leaf_164_clk,70.32µm
_04778_,70.3µm
net198,70.26µm
_10001_,70.24µm
_09331_,70.22µm
_08916_,70.2µm
_04639_,70.18µm
_02898_,70.16µm
_05447_,70.16µm
_08015_,70.14µm
clknet_leaf_137_clk,70.1µm
_11653_,70.02µm
clknet_leaf_67_clk,70µm
clknet_leaf_27_clk,69.94µm
_04820_,69.9µm
_04873_,69.88µm
_05021_,69.86µm
clknet_leaf_32_clk,69.82µm
clknet_leaf_234_clk,69.82µm
_03177_,69.72µm
_03528_,69.72µm
_08613_,69.72µm
clknet_leaf_1_clk,69.69µm
clknet_leaf_171_clk,69.685µm
_05974_,69.6µm
_06756_,69.58µm
_07170_,69.38µm
_09142_,69.32µm
_09960_,69.3µm
_05710_,69.26µm
_08857_,69.2µm
_06614_,69.14µm
_10003_,69.1µm
_09347_,69.045µm
_03179_,69.04µm
clknet_leaf_263_clk,69.02µm
_02727_,68.96µm
_11458_,68.93µm
clknet_leaf_83_clk,68.9µm
_05006_,68.87µm
_11887_,68.78µm
clknet_leaf_185_clk,68.78µm
_06553_,68.76µm
_02718_,68.74µm
_08459_,68.69µm
_09760_,68.58µm
net303,68.58µm
_02689_,68.57µm
_09952_,68.54µm
_05113_,68.46µm
clknet_leaf_97_clk,68.4µm
_08174_,68.38µm
_08228_,68.36µm
_04125_,68.35µm
_03893_,68.34µm
_05002_,68.32µm
_08370_,68.28µm
_06865_,68.26µm
_11237_,68.14µm
clknet_leaf_84_clk,68.14µm
_04095_,68.09µm
_09223_,68.09µm
_09278_,68.08µm
_11301_,68.06µm
clknet_leaf_114_clk,68.06µm
clknet_leaf_141_clk,67.965µm
net229,67.84µm
dec_block.round\[0\],67.68µm
_11635_,67.65µm
keymem.key_mem\[0\]\[28\],67.58µm
dec_block.block_w1_reg\[7\],67.575µm
_09841_,67.54µm
_04910_,67.48µm
_05184_,67.48µm
clknet_leaf_226_clk,67.4µm
_04006_,67.32µm
_06887_,67.32µm
_08322_,67.3µm
_03488_,67.28µm
_06740_,67.22µm
net288,67.08µm
dec_block.round\[1\],67.075µm
_08815_,67.06µm
_08862_,67.04µm
_03053_,66.98µm
clknet_leaf_8_clk,66.98µm
_04468_,66.92µm
net290,66.92µm
_11677_,66.84µm
clknet_leaf_65_clk,66.835µm
_03970_,66.82µm
_05382_,66.78µm
keymem.key_mem\[0\]\[31\],66.52µm
clknet_leaf_103_clk,66.5µm
_02710_,66.44µm
clknet_leaf_89_clk,66.44µm
clknet_leaf_242_clk,66.4µm
_08617_,66.26µm
_11792_,66.26µm
_09400_,66.24µm
clknet_leaf_30_clk,66.2µm
clknet_leaf_156_clk,66.14µm
_07943_,66.1µm
_07853_,66.04µm
clknet_leaf_88_clk,65.98µm
_08372_,65.94µm
net97,65.94µm
_02839_,65.92µm
_07947_,65.8µm
_05213_,65.78µm
enc_block.block_w3_reg\[25\],65.72µm
_03316_,65.66µm
_05056_,65.64µm
_05087_,65.575µm
clknet_leaf_24_clk,65.4µm
_10352_,65.3µm
_03023_,65.24µm
_11650_,65.22µm
_03463_,65.18µm
_04528_,65.11µm
_07034_,65.1µm
_11274_,65.06µm
net134,64.98µm
_08319_,64.96µm
net72,64.94µm
enc_block.block_w3_reg\[16\],64.92µm
_04038_,64.905µm
_03036_,64.9µm
clknet_leaf_227_clk,64.87µm
_11321_,64.84µm
_10011_,64.8µm
_11515_,64.78µm
_06433_,64.76µm
_10257_,64.76µm
_08022_,64.72µm
_11541_,64.72µm
_08891_,64.66µm
net294,64.66µm
_03045_,64.64µm
_09583_,64.605µm
clknet_leaf_13_clk,64.6µm
_09183_,64.56µm
_09391_,64.56µm
dec_block.dec_ctrl_reg\[0\],64.49µm
clknet_leaf_116_clk,64.48µm
_10664_,64.435µm
_07071_,64.36µm
clknet_leaf_68_clk,64.3µm
_03802_,64.22µm
_04215_,64.08µm
_08009_,64.06µm
_04080_,64.04µm
_04275_,64µm
_03851_,63.98µm
clknet_leaf_123_clk,63.97µm
clknet_leaf_52_clk,63.92µm
_02828_,63.815µm
_04464_,63.8µm
enc_block.block_w3_reg\[30\],63.76µm
_03537_,63.74µm
_08638_,63.7µm
_11560_,63.7µm
_04587_,63.66µm
clknet_leaf_17_clk,63.66µm
_05343_,63.62µm
_08497_,63.62µm
_11906_,63.56µm
_03476_,63.43µm
_02838_,63.38µm
_02643_,63.32µm
_05313_,63.32µm
_07832_,63.32µm
clknet_leaf_229_clk,63.28µm
_11595_,63.24µm
clknet_leaf_55_clk,63.14µm
_09719_,63.08µm
_11570_,62.96µm
_03047_,62.88µm
_03801_,62.86µm
_02867_,62.84µm
_06981_,62.78µm
clknet_leaf_181_clk,62.76µm
_06651_,62.72µm
_09234_,62.72µm
_09309_,62.68µm
_04851_,62.66µm
_10571_,62.66µm
_06595_,62.64µm
_09472_,62.64µm
_03482_,62.55µm
_11569_,62.48µm
_11352_,62.44µm
_09149_,62.34µm
dec_block.block_w2_reg\[25\],62.2µm
_04105_,62.12µm
_08517_,62.1µm
_11262_,62.1µm
_10639_,62.08µm
_04549_,62.035µm
_04482_,62µm
_08075_,61.98µm
_09279_,61.96µm
_05358_,61.92µm
_09360_,61.88µm
clknet_leaf_209_clk,61.87µm
clknet_leaf_177_clk,61.82µm
_06822_,61.8µm
_09191_,61.74µm
_11157_,61.7µm
_11447_,61.66µm
_11221_,61.64µm
clknet_leaf_73_clk,61.54µm
_11353_,61.46µm
_08088_,61.43µm
_11529_,61.3µm
_05075_,61.26µm
_06039_,61.26µm
_04655_,61.24µm
_11976_,61.24µm
dec_block.block_w0_reg\[20\],61.24µm
_04566_,61.16µm
clknet_leaf_124_clk,61.16µm
_04907_,61.14µm
_09525_,61.1µm
_11446_,61.06µm
_09970_,61.04µm
enc_block.block_w2_reg\[0\],61.035µm
_10086_,60.98µm
_09386_,60.945µm
clknet_leaf_95_clk,60.94µm
_11279_,60.86µm
_08959_,60.82µm
_04938_,60.74µm
_10712_,60.68µm
_03865_,60.66µm
_06150_,60.58µm
_10867_,60.5µm
_09763_,60.48µm
_11270_,60.28µm
_08038_,60.24µm
_04779_,60.18µm
_02864_,60.12µm
_10227_,60.12µm
_02621_,60.1µm
_07099_,60.04µm
_04956_,59.86µm
_07033_,59.86µm
_07193_,59.86µm
_07823_,59.86µm
_03191_,59.82µm
_09961_,59.82µm
_05254_,59.78µm
_05785_,59.78µm
clknet_leaf_216_clk,59.78µm
_05198_,59.7µm
_08760_,59.66µm
_05171_,59.56µm
_05452_,59.56µm
_11165_,59.5µm
clknet_leaf_131_clk,59.48µm
_02831_,59.46µm
_07084_,59.44µm
_11654_,59.42µm
net183,59.42µm
_04539_,59.36µm
_08998_,59.36µm
_08206_,59.35µm
_03025_,59.28µm
_05503_,59.28µm
clknet_leaf_153_clk,59.28µm
_08286_,59.24µm
_08171_,59.22µm
clknet_leaf_33_clk,59.22µm
_11841_,59.2µm
clknet_leaf_256_clk,59.18µm
_11513_,59.14µm
_06048_,59.11µm
_08394_,59.08µm
_09228_,58.98µm
_04242_,58.96µm
clknet_leaf_12_clk,58.94µm
_03575_,58.8µm
_05900_,58.76µm
_12010_,58.6µm
clknet_leaf_199_clk,58.6µm
_09013_,58.54µm
net302,58.52µm
_06458_,58.46µm
_05118_,58.44µm
_09358_,58.44µm
_06831_,58.38µm
_09820_,58.3µm
_05882_,58.28µm
_11678_,58.28µm
_02720_,58.26µm
_05114_,58.26µm
_04270_,58.22µm
_09994_,58.2µm
_06171_,58.08µm
_09571_,58.02µm
clknet_leaf_186_clk,58.02µm
_08750_,58µm
_03645_,57.9µm
_11492_,57.86µm
_12006_,57.84µm
clknet_leaf_120_clk,57.82µm
clknet_leaf_80_clk,57.8µm
_03033_,57.78µm
clknet_leaf_71_clk,57.76µm
_03003_,57.75µm
_09990_,57.74µm
dec_block.block_w0_reg\[24\],57.735µm
_03579_,57.64µm
_03050_,57.62µm
_11500_,57.61µm
_09307_,57.58µm
_09329_,57.56µm
_04089_,57.52µm
clknet_leaf_187_clk,57.52µm
_04429_,57.5µm
_09043_,57.36µm
_06694_,57.34µm
_10123_,57.34µm
_10677_,57.22µm
_11351_,57.16µm
_09226_,57.14µm
_04139_,57.12µm
_04005_,57.1µm
_08850_,57.1µm
_08665_,57.08µm
_03823_,57.06µm
_05384_,57.04µm
_08235_,57.04µm
_03485_,57.02µm
_09502_,57.02µm
_03948_,56.98µm
_10178_,56.96µm
_03772_,56.94µm
_05350_,56.94µm
enc_block.ready,56.93µm
_05035_,56.92µm
_09144_,56.82µm
_09823_,56.72µm
_10055_,56.7µm
_03754_,56.56µm
_04231_,56.52µm
_10281_,56.52µm
_05266_,56.48µm
_09337_,56.46µm
_03755_,56.445µm
_09190_,56.38µm
_09824_,56.38µm
_03518_,56.36µm
_02526_,56.34µm
_08691_,56.34µm
_09535_,56.28µm
_10417_,56.24µm
_04736_,56.22µm
_04997_,56.1µm
_08027_,56.075µm
_06410_,56.06µm
_10030_,56.02µm
_07046_,55.98µm
_05829_,55.94µm
_08162_,55.94µm
_08773_,55.88µm
clknet_leaf_157_clk,55.88µm
_02815_,55.86µm
_10194_,55.84µm
keymem.round_ctr_reg\[1\],55.82µm
dec_block.block_w0_reg\[22\],55.755µm
_03894_,55.74µm
_05020_,55.72µm
clknet_leaf_20_clk,55.72µm
_08006_,55.68µm
_10416_,55.65µm
_03066_,55.62µm
_09332_,55.58µm
_06443_,55.56µm
_10000_,55.56µm
net354,55.56µm
dec_block.block_w0_reg\[23\],55.52µm
_10630_,55.46µm
net154,55.4µm
_07984_,55.37µm
_04713_,55.32µm
_11651_,55.32µm
clknet_leaf_165_clk,55.3µm
clknet_leaf_93_clk,55.18µm
_09339_,55.16µm
_04561_,55.04µm
clknet_leaf_238_clk,54.98µm
clknet_leaf_253_clk,54.98µm
_05327_,54.94µm
_05101_,54.92µm
_09567_,54.88µm
clknet_leaf_184_clk,54.88µm
_02728_,54.86µm
keymem.rcon_logic.tmp_rcon\[0\],54.845µm
_09593_,54.84µm
_08631_,54.76µm
_04382_,54.74µm
_08941_,54.72µm
_03778_,54.64µm
_11804_,54.6µm
_04140_,54.56µm
_10207_,54.56µm
keymem.key_mem\[0\]\[18\],54.505µm
_08514_,54.46µm
_09460_,54.46µm
_03251_,54.38µm
_03426_,54.36µm
_04945_,54.36µm
_09264_,54.36µm
_06588_,54.34µm
clknet_leaf_210_clk,54.33µm
clknet_leaf_191_clk,54.26µm
_09053_,54.22µm
_07771_,54.16µm
_09533_,54.1µm
_09919_,54.04µm
_09967_,53.82µm
clknet_leaf_4_clk,53.675µm
_08173_,53.64µm
_06860_,53.62µm
_02723_,53.61µm
_03909_,53.58µm
_04780_,53.54µm
_07107_,53.52µm
_11160_,53.52µm
_11387_,53.5µm
_03955_,53.44µm
_11690_,53.42µm
_09898_,53.38µm
_06891_,53.3µm
_10351_,53.28µm
_08932_,53.24µm
_05122_,53.2µm
_08025_,53.2µm
_10784_,53.2µm
_04755_,53.11µm
_07094_,53.1µm
clknet_leaf_82_clk,53.1µm
_03048_,53.02µm
_04946_,52.98µm
clknet_leaf_158_clk,52.98µm
_04863_,52.96µm
_08203_,52.96µm
_11520_,52.94µm
_12002_,52.92µm
_03895_,52.88µm
clknet_leaf_16_clk,52.88µm
_07936_,52.87µm
_08061_,52.84µm
clknet_leaf_78_clk,52.84µm
_09334_,52.8µm
_08396_,52.78µm
_04426_,52.76µm
dec_block.dec_ctrl_reg\[1\],52.76µm
_06819_,52.74µm
_11275_,52.72µm
_05125_,52.7µm
_09819_,52.66µm
_09139_,52.62µm
_05279_,52.6µm
_09575_,52.38µm
dec_block.block_w1_reg\[3\],52.38µm
clknet_leaf_149_clk,52.36µm
_08452_,52.3µm
_09012_,52.18µm
_03817_,52.14µm
_08367_,52.14µm
_04885_,52.13µm
clknet_leaf_72_clk,52.12µm
_11300_,52.08µm
_07066_,52.04µm
_09384_,52.04µm
_08597_,52.02µm
_11696_,52.02µm
_05145_,51.94µm
_06467_,51.92µm
clknet_leaf_249_clk,51.88µm
_03774_,51.86µm
_10130_,51.8µm
_03786_,51.76µm
_06769_,51.72µm
_08389_,51.7µm
_09274_,51.7µm
_08076_,51.68µm
_10075_,51.67µm
_06601_,51.65µm
_05495_,51.62µm
_06576_,51.62µm
_03567_,51.54µm
_11336_,51.54µm
_11384_,51.5µm
_09265_,51.47µm
_03944_,51.44µm
_07835_,51.4µm
_03052_,51.34µm
_04646_,51.28µm
_06571_,51.26µm
_08225_,51.26µm
_08445_,51.26µm
_02744_,51.2µm
_08324_,51.14µm
_09619_,51.1µm
clknet_leaf_5_clk,51.1µm
_11917_,51.06µm
_05409_,51.04µm
_11161_,51.04µm
_11295_,51.04µm
_11686_,51.04µm
net263,51.02µm
_08059_,50.98µm
_06102_,50.96µm
_08909_,50.88µm
_05109_,50.845µm
_08214_,50.8µm
_06774_,50.78µm
_05181_,50.72µm
_05660_,50.72µm
_11392_,50.72µm
_07870_,50.715µm
_03886_,50.64µm
_04828_,50.64µm
dec_block.block_w1_reg\[28\],50.64µm
_04522_,50.605µm
_03422_,50.6µm
_03006_,50.5µm
_05274_,50.5µm
_08237_,50.5µm
_05044_,50.48µm
clknet_leaf_125_clk,50.46µm
clknet_leaf_198_clk,50.46µm
_04852_,50.445µm
clknet_leaf_162_clk,50.44µm
clknet_leaf_228_clk,50.38µm
_04540_,50.34µm
_02809_,50.28µm
net155,50.26µm
_06480_,50.24µm
_02794_,50.2µm
_09317_,50.12µm
_03829_,50.06µm
_06434_,50.06µm
_10040_,50.02µm
clknet_leaf_195_clk,50µm
_03915_,49.78µm
clknet_leaf_196_clk,49.74µm
clknet_leaf_214_clk,49.74µm
clknet_leaf_118_clk,49.72µm
_02478_,49.68µm
_03026_,49.54µm
_02840_,49.52µm
_07972_,49.46µm
_02830_,49.42µm
_08431_,49.42µm
_07931_,49.38µm
_06853_,49.36µm
_04525_,49.34µm
_09858_,49.32µm
_11304_,49.32µm
_07124_,49.3µm
_08193_,49.3µm
_11676_,49.26µm
_02792_,49.2µm
_05392_,49.18µm
_03201_,49.155µm
_06456_,49.08µm
_08953_,49µm
_06104_,48.94µm
_03862_,48.9µm
_08220_,48.89µm
_09942_,48.84µm
_11242_,48.84µm
_04268_,48.78µm
_03533_,48.74µm
_07851_,48.72µm
_11758_,48.66µm
clknet_leaf_66_clk,48.62µm
_09112_,48.59µm
_07011_,48.58µm
_04827_,48.54µm
_06658_,48.52µm
_05486_,48.5µm
_11501_,48.5µm
_10810_,48.44µm
_09473_,48.4µm
_04843_,48.38µm
_07112_,48.32µm
_06967_,48.28µm
_07994_,48.28µm
_08453_,48.28µm
_05401_,48.16µm
_05840_,48.04µm
_09461_,48.02µm
_04084_,48µm
_10514_,47.96µm
_08611_,47.95µm
_11246_,47.94µm
_04619_,47.86µm
_04589_,47.82µm
_05271_,47.82µm
_09546_,47.7µm
_03046_,47.66µm
_03561_,47.66µm
_06566_,47.54µm
_03941_,47.5µm
_08966_,47.5µm
_10298_,47.42µm
_03782_,47.4µm
_07212_,47.4µm
_03290_,47.36µm
_03413_,47.34µm
_03942_,47.34µm
_10038_,47.24µm
_09684_,47.22µm
_03828_,47.2µm
_05033_,47.18µm
_08215_,47.15µm
_04097_,47.12µm
_03722_,47.06µm
clknet_leaf_7_clk,47.03µm
_02775_,47.02µm
_05015_,46.94µm
_08887_,46.92µm
clknet_leaf_127_clk,46.82µm
net389,46.8µm
net136,46.76µm
_10189_,46.74µm
_03074_,46.7µm
clknet_leaf_248_clk,46.68µm
_04074_,46.64µm
_07104_,46.62µm
_04959_,46.6µm
clknet_leaf_213_clk,46.6µm
_04103_,46.58µm
_11813_,46.58µm
_03077_,46.56µm
_08600_,46.56µm
_04342_,46.525µm
_06001_,46.48µm
_09568_,46.48µm
_04356_,46.46µm
_09892_,46.46µm
_04477_,46.42µm
_04854_,46.42µm
_05189_,46.38µm
_05771_,46.36µm
keymem.prev_key0_reg\[89\],46.3µm
_04104_,46.26µm
_04486_,46.24µm
_03285_,46.18µm
_06677_,46.18µm
_11844_,46.18µm
_10122_,46.02µm
_05133_,46µm
_07945_,45.98µm
_08545_,45.84µm
_05045_,45.82µm
_09306_,45.8µm
_11697_,45.76µm
_02863_,45.74µm
_08578_,45.72µm
_12005_,45.72µm
_02508_,45.68µm
_09148_,45.68µm
_10007_,45.66µm
_07613_,45.64µm
_08835_,45.62µm
_04975_,45.6µm
_11231_,45.6µm
_08016_,45.58µm
_04556_,45.46µm
_06348_,45.44µm
_04134_,45.42µm
_04329_,45.37µm
_10953_,45.32µm
_03753_,45.28µm
_05000_,45.22µm
_06792_,45.22µm
_06845_,45.16µm
_09941_,45.14µm
_04087_,45.1µm
_08264_,45.1µm
_10188_,45.06µm
keymem.prev_key0_reg\[126\],45.01µm
_03511_,44.94µm
_06079_,44.92µm
_11688_,44.88µm
_08404_,44.82µm
_06241_,44.8µm
_12016_,44.8µm
_03659_,44.76µm
_08924_,44.68µm
_09901_,44.68µm
_04714_,44.64µm
_09675_,44.64µm
_02781_,44.52µm
clknet_leaf_39_clk,44.42µm
_03317_,44.4µm
_08694_,44.38µm
_02829_,44.36µm
_07215_,44.36µm
_05739_,44.34µm
_11897_,44.34µm
clknet_leaf_260_clk,44.3µm
_11203_,44.28µm
_05013_,44.26µm
keymem.key_mem\[0\]\[23\],44.18µm
_08538_,44.16µm
_11378_,44.06µm
_07543_,44.02µm
_08720_,44.02µm
_10067_,43.92µm
_04925_,43.88µm
_09255_,43.86µm
_11504_,43.82µm
_07848_,43.78µm
_03901_,43.7µm
_05187_,43.68µm
keymem.key_mem\[0\]\[110\],43.67µm
_07638_,43.66µm
_05321_,43.52µm
_03494_,43.44µm
_05282_,43.44µm
_08357_,43.44µm
_06330_,43.42µm
_11611_,43.42µm
clknet_leaf_148_clk,43.42µm
_02707_,43.32µm
_10173_,43.3µm
_04130_,43.285µm
enc_block.enc_ctrl_reg\[1\],43.24µm
_08633_,43.165µm
_03815_,43.06µm
_09587_,43.05µm
_11583_,42.96µm
_06221_,42.92µm
_04765_,42.83µm
clknet_leaf_261_clk,42.8µm
dec_block.block_w0_reg\[31\],42.78µm
_08460_,42.74µm
_10234_,42.74µm
_06374_,42.68µm
keymem.prev_key1_reg\[121\],42.68µm
_02485_,42.66µm
_07773_,42.66µm
_02749_,42.6µm
_05165_,42.54µm
_06829_,42.54µm
_03197_,42.52µm
_05342_,42.5µm
_09353_,42.44µm
_07980_,42.34µm
_09290_,42.34µm
_07203_,42.16µm
_04882_,42.14µm
_07268_,42.14µm
_10049_,42.14µm
net383,42.14µm
clknet_leaf_3_clk,42.14µm
_05185_,42.12µm
_09501_,42.1µm
_10624_,42.08µm
_08210_,42.06µm
_10773_,42.04µm
_10313_,42.02µm
_02716_,42µm
_03943_,42µm
_06589_,42µm
_09639_,41.96µm
_05081_,41.94µm
_06462_,41.94µm
_06587_,41.92µm
_08244_,41.89µm
_08107_,41.88µm
_02496_,41.86µm
_10991_,41.82µm
_03172_,41.78µm
_10145_,41.74µm
_09551_,41.72µm
_06368_,41.7µm
_10989_,41.68µm
key_ready,41.68µm
_11167_,41.67µm
_11882_,41.66µm
_05283_,41.62µm
_06421_,41.59µm
_08892_,41.58µm
_10200_,41.58µm
enc_block.round\[0\],41.58µm
_06184_,41.56µm
net207,41.56µm
_05652_,41.54µm
_07062_,41.54µm
dec_block.block_w1_reg\[10\],41.54µm
_10943_,41.515µm
_05405_,41.5µm
clknet_leaf_35_clk,41.5µm
net348,41.48µm
_04603_,41.46µm
_07938_,41.44µm
_09882_,41.44µm
net224,41.38µm
_06502_,41.34µm
_10148_,41.34µm
_02555_,41.26µm
_10260_,41.26µm
_11488_,41.18µm
_06556_,41.16µm
_07239_,41.16µm
_05414_,41.14µm
_09361_,41.12µm
_03960_,41.1µm
_02812_,41.08µm
_04152_,41.06µm
keymem.key_mem\[0\]\[13\],41.02µm
_10137_,41µm
net385,40.96µm
_02890_,40.94µm
_07838_,40.88µm
_04360_,40.8µm
_02746_,40.72µm
_03781_,40.68µm
net86,40.68µm
_02757_,40.66µm
enc_block.round\[1\],40.66µm
clknet_leaf_220_clk,40.63µm
_03070_,40.62µm
_03849_,40.6µm
_05030_,40.6µm
_04243_,40.58µm
_01479_,40.565µm
_11045_,40.46µm
_09003_,40.44µm
_05438_,40.36µm
_09390_,40.32µm
_10503_,40.31µm
_03587_,40.28µm
_04757_,40.26µm
_08641_,40.24µm
_10237_,40.2µm
_09795_,40.18µm
_03583_,40.02µm
_11318_,40.015µm
_07164_,40µm
_06137_,39.945µm
_08052_,39.94µm
_06217_,39.92µm
_03043_,39.9µm
_03536_,39.9µm
_04355_,39.9µm
_08515_,39.88µm
net296,39.88µm
_05528_,39.86µm
keymem.prev_key0_reg\[86\],39.86µm
_05658_,39.82µm
_08475_,39.76µm
_09355_,39.76µm
_09141_,39.7µm
_07027_,39.64µm
_04054_,39.62µm
_04527_,39.62µm
_04071_,39.54µm
_08313_,39.54µm
dec_block.block_w1_reg\[14\],39.52µm
_03305_,39.5µm
_09221_,39.48µm
_03296_,39.465µm
_08279_,39.46µm
_03969_,39.44µm
_04188_,39.44µm
_08839_,39.42µm
_08439_,39.4µm
_11776_,39.4µm
_05263_,39.38µm
_09526_,39.36µm
_04258_,39.335µm
_02836_,39.32µm
_10010_,39.24µm
_10461_,39.24µm
_09532_,39.16µm
_09889_,39.06µm
_11185_,39.05µm
_05278_,39.04µm
_09318_,39.04µm
_04344_,38.98µm
_05108_,38.96µm
_08186_,38.92µm
_05096_,38.9µm
_07242_,38.9µm
_09932_,38.9µm
_09069_,38.86µm
_10072_,38.86µm
clknet_leaf_11_clk,38.82µm
clknet_leaf_25_clk,38.82µm
_08383_,38.8µm
_06751_,38.76µm
_10339_,38.76µm
_07187_,38.74µm
net250,38.66µm
_09682_,38.64µm
_05288_,38.6µm
net285,38.6µm
dec_block.block_w1_reg\[4\],38.565µm
_03397_,38.54µm
_05025_,38.52µm
net76,38.52µm
_03362_,38.48µm
_08163_,38.48µm
_08653_,38.44µm
_10855_,38.44µm
_04688_,38.42µm
_03516_,38.38µm
_04093_,38.32µm
net277,38.28µm
_10998_,38.27µm
_05983_,38.24µm
_10738_,38.24µm
_06021_,38.2µm
_09922_,38.18µm
enc_block.round\[2\],38.16µm
_05246_,38.15µm
_03489_,38.08µm
_03573_,38.04µm
_08487_,38.02µm
_09006_,37.98µm
_10180_,37.98µm
clknet_leaf_38_clk,37.94µm
_06479_,37.92µm
_07374_,37.9µm
_07829_,37.87µm
_03527_,37.86µm
_10554_,37.84µm
_10605_,37.82µm
_03288_,37.8µm
_09194_,37.76µm
_11299_,37.74µm
_08449_,37.72µm
_04246_,37.7µm
_05001_,37.7µm
_08801_,37.7µm
_09539_,37.7µm
_06806_,37.66µm
clknet_leaf_40_clk,37.6µm
_05241_,37.52µm
_02818_,37.48µm
_05063_,37.48µm
_03474_,37.46µm
_11008_,37.46µm
_09407_,37.44µm
_10140_,37.44µm
_09428_,37.42µm
_10205_,37.32µm
_10296_,37.3µm
_10348_,37.3µm
net140,37.3µm
_03665_,37.24µm
_08565_,37.18µm
_09026_,37.18µm
net261,37.16µm
_08208_,37.14µm
_09754_,37.14µm
_05408_,37.1µm
_08958_,37.095µm
_09608_,37.08µm
_06091_,37.06µm
_10302_,37.06µm
_04133_,37.04µm
_04150_,37.02µm
_06491_,37.02µm
_08423_,37.02µm
_09623_,37µm
_05456_,36.98µm
_06848_,36.98µm
_08757_,36.94µm
_03961_,36.905µm
_04090_,36.9µm
_11240_,36.84µm
_02913_,36.8µm
net243,36.8µm
_09424_,36.78µm
_09879_,36.78µm
_10799_,36.78µm
_03572_,36.76µm
_05209_,36.74µm
_11794_,36.74µm
_08304_,36.72µm
_04545_,36.68µm
_05095_,36.68µm
